date,sold,capacity,revenue
2016-08-16,877,1804,10694.0
2016-08-17,850,1640,9989.0
2016-08-18,837,1804,10165.0
2016-08-19,1180,2624,15135.0
2016-08-20,925,2132,10869.0
2016-08-21,1105,2296,14576.0
2016-08-22,835,1804,10088.0
2016-08-23,763,1640,8928.0
2016-08-24,898,1640,10855.0
2016-08-25,899,1804,11064.0
2016-08-26,1264,2624,16542.0
2016-08-27,1042,2132,12652.0
2016-08-28,1359,2296,18856.0
2016-08-29,1027,1804,12740.0
2016-08-30,957,1640,11667.0
2016-08-31,1135,1640,14586.0
2016-09-01,1140,1804,14713.0
2016-09-02,1558,2624,20908.0
2016-09-03,1221,2132,15222.0
2016-09-04,1414,2296,19994.0
2016-09-05,1120,1804,14384.0
2016-09-06,926,1640,11292.0
2016-09-07,1173,1640,15206.0
2016-09-08,1227,1766,16110.0
2016-09-09,1683,2633,22818.0
2016-09-10,1370,2132,17750.0
2016-09-11,1306,2296,17692.0
2016-09-12,950,1804,11730.0
2016-09-13,896,1640,10885.0
2016-09-14,956,1640,11785.0
2016-09-15,1042,1804,13272.0
2016-09-16,1669,2624,23180.0
2016-09-17,1284,2132,16489.0
2016-09-18,1461,2296,21001.0
2016-09-19,1067,1804,13604.0
2016-09-20,856,1640,10309.0
2016-09-21,911,1640,11163.0
2016-09-22,1028,1804,13207.0
2016-09-23,1663,2624,22685.0
2016-09-24,1470,2132,19042.0
2016-09-25,1487,2296,21625.0
2016-09-26,986,1804,12349.0
2016-09-27,880,1640,10588.0
2016-09-28,996,1640,12505.0
2016-09-29,1147,1804,14846.0
2016-09-30,1789,2624,24680.0
2016-10-01,1372,2132,17522.0
2016-10-02,1636,2277,23971.0
2016-10-03,930,1804,11440.0
2016-10-04,828,1621,10003.0
2016-10-05,911,1640,11024.0
2016-10-06,1050,1804,13582.0
2016-10-07,1907,2978,26644.0
2016-10-08,1361,2706,16815.0
2016-10-09,1706,2732,24254.0
2016-10-10,1019,1804,12637.0
2016-10-11,799,1640,9504.0
2016-10-12,938,1640,11533.0
2016-10-13,1058,1804,13657.0
2016-10-14,1937,2978,27227.0
2016-10-15,1515,2706,18988.0
2016-10-16,1763,2754,25097.0
2016-10-17,1016,1804,12656.0
2016-10-18,753,1640,8852.0
2016-10-19,890,1640,10890.0
2016-10-20,1028,1804,13259.0
2016-10-21,1828,3000,25269.0
2016-10-22,1599,2706,20121.0
2016-10-23,1715,2754,24244.0
2016-10-24,1089,1804,13802.0
2016-10-25,1172,1804,15025.0
2016-10-26,1035,2296,12905.0
2016-10-27,1070,1804,13689.0
2016-10-28,1891,3000,25835.0
2016-10-29,1603,2706,20199.0
2016-10-30,1549,2754,20713.0
2016-10-31,1210,1804,15923.0
2016-11-01,1267,2296,16003.0
2016-11-02,1271,1804,16590.0
2016-11-03,1050,1804,13383.0
2016-11-04,1760,3000,23821.0
2016-11-05,1672,2706,21790.0
2016-11-06,1857,2754,26669.0
2016-11-07,1059,1804,13228.0
2016-11-08,1113,1640,14411.0
2016-11-09,1055,1640,13245.0
2016-11-10,1057,1804,13542.0
2016-11-11,1908,3000,26562.0
2016-11-12,1677,2706,21419.0
2016-11-13,1826,2754,26269.0
2016-11-14,1050,1804,13414.0
2016-11-15,914,1640,11252.0
2016-11-16,943,1640,11658.0
2016-11-17,944,1804,11897.0
2016-11-18,1987,3000,27791.0
2016-11-19,1524,2706,19305.0
2016-11-20,1903,2754,27013.0
2016-11-21,1244,1804,16372.0
2016-11-22,986,1640,12180.0
2016-11-23,881,1640,10817.0
2016-11-24,1093,1804,14346.0
2016-11-25,1934,3000,27173.0
2016-11-26,1806,2706,23375.0
2016-11-27,1945,2754,27694.0
2016-11-28,1082,1804,13639.0
2016-11-29,968,1640,11923.0
2016-11-30,923,1640,11468.0
2016-12-01,1240,1804,16532.0
2016-12-02,2007,3000,28643.0
2016-12-03,1973,2706,27538.0
2016-12-04,1907,2754,27354.0
2016-12-05,1124,1804,14370.0
2016-12-06,945,1640,11557.0
2016-12-07,1813,2624,25366.0
2016-12-08,1751,2381,26330.0
2016-12-09,2074,3117,30167.0
2016-12-10,1831,2706,25368.0
2016-12-11,1959,2788,28699.0
2016-12-12,1096,1804,14005.0
2016-12-13,839,1640,10017.0
2016-12-14,1023,1640,12956.0
2016-12-15,1113,1804,14428.0
2016-12-16,1897,2983,26895.0
2016-12-17,1824,2706,24873.0
2016-12-18,1672,2737,23464.0
2016-12-19,1171,1804,15414.0
2016-12-20,989,1640,12386.0
2016-12-21,994,1640,12470.0
2016-12-22,1139,1804,15620.0
2016-12-23,1669,3117,23675.0
2016-12-24,788,1722,10659.0
2016-12-25,690,1804,8253.0
2016-12-26,1052,2296,14062.0
2016-12-27,1071,1804,13797.0
2016-12-28,983,1804,12405.0
2016-12-29,1091,1804,13869.0
2016-12-30,1316,2624,16849.0
2016-12-31,1071,1722,14760.0
2017-01-01,1177,2542,16364.0
2017-01-02,1108,1804,14309.0
2017-01-03,977,1640,12012.0
2017-01-04,997,1640,12327.0
2017-01-05,1128,1804,14982.0
2017-01-06,973,1804,12881.0
2017-01-07,1006,2132,12280.0
2017-01-08,1285,2732,17265.0
2017-01-09,770,1804,9261.0
2017-01-10,622,1640,7098.0
2017-01-11,691,1640,7911.0
2017-01-12,823,1804,10021.0
2017-01-13,1414,2624,18777.0
2017-01-14,1158,2132,14352.0
2017-01-15,1198,2296,16290.0
2017-01-16,937,1770,11617.0
2017-01-17,742,1640,8688.0
2017-01-18,686,1640,8022.0
2017-01-19,806,1804,10025.0
2017-01-20,1457,2624,20082.0
2017-01-21,1080,2132,13609.0
2017-01-22,1240,2296,17287.0
2017-01-23,777,1804,9366.0
2017-01-24,748,1640,8921.0
2017-01-25,719,1640,8426.0
2017-01-26,857,1804,10679.0
2017-01-27,1439,2624,19782.0
2017-01-28,1056,2132,13097.0
2017-01-29,1212,2296,16674.0
2017-01-30,873,1804,10641.0
2017-01-31,760,1640,9046.0
2017-02-01,790,1640,9413.0
2017-02-02,985,1804,12603.0
2017-02-03,1631,2978,22314.0
2017-02-04,1246,2706,15204.0
2017-02-05,1444,2732,19727.0
2017-02-06,912,1804,11224.0
2017-02-07,843,1640,10138.0
2017-02-08,882,1640,10880.0
2017-02-09,1042,1804,13470.0
2017-02-10,1538,2978,20662.0
2017-02-11,1128,2706,13523.0
2017-02-12,1396,2732,18915.0
2017-02-13,932,1804,11527.0
2017-02-14,864,1640,10562.0
2017-02-15,946,1640,11727.0
2017-02-16,929,1804,11905.0
2017-02-17,1643,2978,22114.0
2017-02-18,1400,2706,17427.0
2017-02-19,1573,2732,21645.0
2017-02-20,1018,1804,12638.0
2017-02-21,817,1640,9729.0
2017-02-22,956,1640,11856.0
2017-02-23,1215,1804,16319.0
2017-02-24,1618,2924,21833.0
2017-02-25,1170,2706,14184.0
2017-02-26,1510,2732,20545.0
2017-02-27,897,1804,10943.0
2017-02-28,829,1640,9765.0
2017-03-01,856,1640,10378.0
2017-03-02,997,1804,12974.0
2017-03-03,1788,2978,24748.0
2017-03-04,1443,2706,18129.0
2017-03-05,1701,2732,23813.0
2017-03-06,969,1804,12085.0
2017-03-07,844,1640,10340.0
2017-03-08,773,1640,9123.0
2017-03-09,978,1804,12447.0
2017-03-10,1878,2978,26155.0
2017-03-11,1594,2706,20182.0
